,Genename,Counts,Sample
286,RPL14,122762.45,Moderate 4
287,RPS27L,9690.631,Moderate 4
288,GAPDH,67475.27,Moderate 4
289,RPS20,27679.516,Moderate 4
290,SEPT8,89.84766,Moderate 4
291,ZNF622,1644.308,Moderate 4
292,CNR2,473.46497,Moderate 4
293,SREBF2,1137.8123,Moderate 4
294,SEC24C,861.87646,Moderate 4
295,CSTA,5389.164,Moderate 4
296,RPL38,59795.363,Moderate 4
297,TLN1,18177.781,Moderate 4
298,MRPL22,1571.3618,Moderate 4
299,MOV10,1241.8336,Moderate 4
300,ATF4,5956.8804,Moderate 4
301,ATAD2,613.88104,Moderate 4
302,RPL10A,49370.996,Moderate 4
303,ESRRA,205.1305,Moderate 4
304,TGM2,44.963757,Moderate 4
305,SNX27,1493.8844,Moderate 4
306,TMEM30A,1577.0925,Moderate 4
307,SIL1,631.2833,Moderate 4
308,PLXDC2,2277.2368,Moderate 4
309,WDR55,784.7087,Moderate 4
310,MT-ND2,57714.33,Moderate 4
311,EIF3A,4390.1333,Moderate 4
312,MFSD10,3517.1338,Moderate 4
313,HEATR3,333.58954,Moderate 4
314,HDAC4,509.7639,Moderate 4
315,APOL6,5492.7656,Moderate 4
316,COPA,1920.1268,Moderate 4
317,PGGT1B,1053.7599,Moderate 4
318,SMARCC2,2470.7673,Moderate 4
319,HSPA5,11513.349,Moderate 4
320,HSPA9,4206.7896,Moderate 4
321,IFITM2,290249.84,Moderate 4
322,CAPRIN1,2995.7183,Moderate 4
323,DYNC1H1,3195.0186,Moderate 4
324,MORF4L1,13286.193,Moderate 4
325,SYTL3,3006.2095,Moderate 4
326,NNT,1099.1522,Moderate 4
327,RPRD2,1522.5345,Moderate 4
328,STAT1,11590.452,Moderate 4
329,SAMHD1,9574.197,Moderate 4
330,PKN1,2489.8423,Moderate 4
331,MYCBP2,6251.5244,Moderate 4
332,ACTB,417453.62,Moderate 4
333,COTL1,18912.17,Moderate 4
334,FAM198B,511.1804,Moderate 4
335,BTN3A2,5569.661,Moderate 4
336,KIAA0232,762.4422,Moderate 4
337,TPRKB,1991.112,Moderate 4
338,XAF1,29866.25,Moderate 4
339,ST3GAL1,4455.282,Moderate 4
340,RCSD1,10679.624,Moderate 4
341,TXNIP,116118.17,Moderate 4
342,RASSF2,1326.601,Moderate 4
343,RPS18,152386.72,Moderate 4
344,RPL35,63852.586,Moderate 4
345,SYK,2561.535,Moderate 4
346,FNBP1,5039.917,Moderate 4
347,ABR,807.41565,Moderate 4
348,UBE2K,2989.1926,Moderate 4
349,FCGR2A,3945.1377,Moderate 4
350,AXIN1,441.6094,Moderate 4
351,CHD3,3291.073,Moderate 4
352,OAS3,3290.2363,Moderate 4
353,CAPZA2,12758.445,Moderate 4
354,MT-ATP8,105811.37,Moderate 4
355,ARHGDIB,66039.67,Moderate 4
356,SYNCRIP,2214.779,Moderate 4
357,PHIP,4971.22,Moderate 4
358,SRRM1,8906.473,Moderate 4
359,WAS,5767.6597,Moderate 4
360,UQCRB,23415.97,Moderate 4
361,USP7,876.44525,Moderate 4
362,LAMP2,2802.7964,Moderate 4
363,SHISA5,13590.277,Moderate 4
364,TMPO,4191.1753,Moderate 4
365,WDFY4,267.10538,Moderate 4
366,PSMD6,4219.2637,Moderate 4
367,PABPC1,40736.992,Moderate 4
368,COMMD8,1981.7886,Moderate 4
369,ASPM,14.985463,Moderate 4
370,LST1,16892.31,Moderate 4
371,CSDE1,10206.65,Moderate 4
372,FCGR1A,3685.4634,Moderate 4
373,KIF22,1070.2832,Moderate 4
374,CKAP2,598.2539,Moderate 4
375,TADA2B,332.12094,Moderate 4
376,NFKBIA,15387.036,Moderate 4
377,CEP350,2724.3953,Moderate 4
378,GTF3C5,1226.2502,Moderate 4
379,RBM8A,6749.635,Moderate 4
380,SET,5647.92,Moderate 4
381,NCF2,5835.369,Moderate 4
382,ITGAM,1953.0787,Moderate 4
383,TXLNA,687.99243,Moderate 4
384,DIAPH1,3817.236,Moderate 4
385,PAG1,2851.1614,Moderate 4
386,CST3,43674.906,Moderate 4
387,RPS5,68262.44,Moderate 4
388,IFI27,58380.2,Moderate 4
389,YWHAZ,37616.246,Moderate 4
390,MOB1A,10559.729,Moderate 4
391,IFITM3,315136.16,Moderate 4
392,LTBP4,894.72534,Moderate 4
393,LACTB,927.2407,Moderate 4
394,AP2B1,2656.2773,Moderate 4
395,HCK,3446.5884,Moderate 4
396,LRP1,998.8554,Moderate 4
397,LSP1,21185.84,Moderate 4
398,MAST4,901.52014,Moderate 4
399,CYBB,3965.9077,Moderate 4
400,MALAT1,1172789.2,Moderate 4
401,ELMO1,3103.2063,Moderate 4
402,MT-ATP6,94891.42,Moderate 4
403,MYH9,22803.95,Moderate 4
404,VPS41,1245.3558,Moderate 4
405,ATP2B4,1433.4534,Moderate 4
406,PTPRE,4103.8564,Moderate 4
