,Gene index,Gene name
831,8884,ACVR2A
832,8943,FLRT2
833,8950,WDHD1
834,8960,BCL6
835,8968,SLC1A3
836,9018,DPH5
837,9102,NCF4
838,9126,MARC1
839,9134,LGALS3BP
840,9149,LYPLAL1
841,9155,FLAD1
842,9163,CCDC59
843,9277,ITGB2-AS1
844,9293,NUBPL
845,9344,KLHL18
846,9427,CLIP3
847,9708,PIGA
848,9723,RAB21
849,9736,CCNC
850,9764,MBOAT2
851,9870,ADO
852,9926,PVT1
853,9954,HIST1H2BD
854,10079,ZSWIM5
855,10086,MINPP1
856,10105,ECM1
857,10108,SFXN3
858,10133,DUSP14
859,10175,WASF1
860,10307,TAF13
861,10329,IMPA2
862,10561,ST14
863,10583,ADAP2
864,10665,C9orf72
865,10690,PIK3R2
866,10694,C8orf82
867,10700,NAA35
868,10706,POU5F1
869,10718,HEY2
870,10721,TNFRSF10A
871,10781,FASLG
872,10853,TMCO3
873,10893,EXOC3L2
874,11139,SYNJ2BP
875,11152,FES
876,11212,ZSCAN16
877,11492,THBD
878,11545,ZBED5
879,11638,ZNF610
880,11647,SH2D4A
881,11657,KRTAP5-AS1
882,11764,CSRNP2
883,11808,TTYH3
884,11812,ANKH
885,11830,IL17RC
886,11943,ZBTB6
887,12001,HPGD
888,12002,TBC1D3C
889,12011,TRBV7-6
890,12139,RAB6B
891,12183,NOG
892,12209,GFPT2
893,12224,STAC
894,12235,DPEP3
895,12240,DTHD1
896,12248,GRB10
897,12296,RAB13
898,12353,ZNF469
899,12426,PTGDS
900,12510,SH2B2
901,12526,TFPT
902,12656,HBEGF
903,12668,PGBD1
904,12704,SOCS1
905,12731,MYRFL
906,12743,MATK
907,12751,FITM2
908,12779,VSIG4
909,12802,TCP11L2
910,12815,CTAGE15
911,12846,LDLRAD3
912,12964,TRPM8
913,13015,XK
914,13054,SOWAHC
915,13068,ZNF776
916,13170,ARHGEF19
917,13181,ADAMTS2
918,13215,SERINC2
919,13223,ZCCHC14
920,13331,SMAD7
921,13399,TULP2
922,13449,SLC13A2
923,13502,CABP4
924,13557,RFX8
925,13564,THAP1
926,13587,ENC1
927,13644,RORB
928,13646,CENPA
929,13865,HLX
930,13868,LEP
931,13955,DDR2
932,13972,PINK1-AS
933,13985,PPP1R17
934,14012,TAF9B
935,14018,PINLYP
936,14043,SLC5A9
937,14050,B3GNT9
938,14120,CHRNA7
939,14137,ACOX2
940,14302,EDN3
941,14375,RAB36
942,14390,NGFR
943,14439,PFKFB4
944,14444,PLD6
945,14447,KCNH8
946,14453,ZSCAN21
947,14713,CPE
948,14837,FERMT2
949,14969,SYNGAP1
950,14978,SEC61A2
951,15347,TXNDC2
952,15360,DSC2
953,15508,CDHR1
954,15699,GLS2
955,15776,PID1
956,15831,OLAH
957,15867,FAM151B
958,15908,DDX43
959,15939,TNFAIP6
960,15979,KCNIP4
961,16055,HCG20
962,16201,ZNF564
963,16343,IPO9-AS1
964,16379,KRBOX1-AS1
965,16489,LDLRAD4-AS1
966,16533,AC005009.2
967,16535,HPD
968,16588,AKAP2
969,16808,ACHE
970,16837,NCR1
971,17046,FAM225A
972,17106,LDHC
