"","Gene.name","logFC","logCPM","PValue"
"83","AIF1",1.65723961234108,8.63133808338308,3.83975636967051e-06
"84","NFE2",3.25825778352307,5.96334995250435,2.76249443742692e-08
"85","LIMS1",1.09355309788526,7.29767345930502,0.000302282076957691
"86","PSMB9",1.40076111285597,8.62765096591644,1.42221362182131e-07
"87","HIST1H2AI",2.06339992483113,1.59828372268814,2.62247310029106e-07
"88","EVI2B",1.25053433703716,6.98941445113343,7.15204458643833e-05
"89","ZBTB44",-1.00930445122015,6.12377681630131,0.00184823291561032
"90","CD180",1.17452821808202,3.08206106922752,1.30706067555275e-05
"91","BTK",1.10513495372745,5.02497358713645,1.30538320946136e-08
"92","B3GNT7",-1.53442909724088,3.06206191982417,0.00961936629676859
"93","TLR1",1.79523966272694,4.51521435591167,2.11491857013384e-11
"94","SULT1B1",1.86745580285339,3.75371436174027,2.70910346435119e-07
"95","TSHZ1",-1.24339870214204,5.22125894636784,0.000107242170802864
"96","MZB1",1.7058423631477,3.41633703437404,7.73395014385717e-09
"97","PGD",1.52840773946181,6.75016587437534,2.2877356413156e-08
"98","GLT1D1",2.67846541833389,4.08329334612766,1.01754735442843e-10
"99","FTL",1.39087017428303,12.3498271051415,0.00188055759745177
"100","PCNT",-1.20358914472458,5.82328788484966,0.00103000013220179
"101","H3F3A",1.54879044886167,10.5586162883226,0.00397885209230478
"102","CD163",1.59096088621889,4.31632187476372,0.000125786563538705
"103","HAL",1.46847610853418,2.55086313889512,0.00206558513965233
"104","LILRA5",2.26230438646232,5.81196449030265,3.16748164454149e-08
"105","UBE2L6",1.43641193963442,7.1763977492435,5.05922915235342e-07
"106","ALOX5AP",1.74714370662264,7.80732431821212,1.05041180659094e-05
"107","MYL6",1.03594004234295,10.338564484696,1.51271614129539e-05
"108","HIST1H2BN",1.36357738632777,3.09605942010439,0.000874230261395732
"109","MGAT5B",-3.09395099638201,-1.98488977541624,0.00502982133543723
"110","STAB1",1.38874143113784,3.8528346610054,2.12699386944699e-05
"111","TRIQK",1.48070806686443,2.50998598164248,1.11933496872229e-05
"112","LMOD3",-1.78462748484152,1.37660821515521,0.00281525108709184
"113","RBM47",1.41763315708199,4.62904237104376,3.7634141130647e-06
"114","DYSF",3.04937906620527,4.77023253210772,1.55302664925013e-13
"115","IGLV2-14",1.83199780509618,6.10334329906752,0.00629677304746093
"116","IDH1",1.00685388384978,3.73488673623027,1.80163078183517e-05
"117","MARCH9",-1.20944490259954,4.37121826220701,6.82952270850681e-05
"118","TUBA1C",1.11145484111358,5.6694789935799,0.00436581489286602
"119","CDK2AP1",1.05518699528487,2.55532033023091,0.0035852960012054
"120","LAMTOR4",1.6928825021288,8.29722667744741,1.27770802198433e-07
"121","ALDOA",1.28501790376694,8.8311894187768,6.62214989721253e-06
"122","ARL4C",-1.13383584999637,8.37466131902682,6.22422682856882e-05
"123","HIST1H1C",1.13735555893924,6.13592254588083,6.98945776034225e-08
"124","S100A4",1.52205763365052,10.9173942129989,0.00119442566855605
"125","NEAT1",2.18726237986172,9.77294268003737,7.21192304055098e-11
"126","RNASET2",1.13990659656597,8.09775650924252,7.59351167616572e-06
"127","KDM1A",-1.08250880761471,4.8644721162371,0.00220899967181725
"128","RSAD2",5.31381072632344,6.44290195874636,1.57737531524083e-20
"129","OTUD7B",-1.07090668486903,3.25790790694727,0.000772668891298431
"130","HP",3.11517988824507,2.35332100896965,1.63637521248736e-08
"131","FSTL1",1.76827641283401,1.85200854657504,0.00736317890780786
"132","HIVEP2",-1.02180960356077,6.16117678957647,0.00275999219227539
"133","RASGRP4",2.20363880119033,3.99393290286062,1.71331932897905e-07
"134","PRICKLE2",-2.78480941940849,-1.15350029643699,8.39077354540852e-05
"135","GMFG",1.21297636606764,9.00739564903594,6.11884074030165e-07
"136","GRN",1.50034454529,7.36964070013269,2.46885425795293e-09
"137","RBM27",-1.60875024008279,5.34609153382735,0.008423264253995
"138","H2AFJ",1.61497785681493,6.58293010738063,1.45103115792234e-05
"139","TOP2B",-1.33311852335144,6.65965178409544,0.00379624692148206
"140","MITF",1.64313916081766,2.6953602110983,9.34350492666008e-05
"141","SNN",1.26012928806578,5.24744818938078,7.95826329398651e-06
"142","RGS2",1.25244103920538,7.30110459846833,1.92303214438924e-05
"143","PLAC8",1.06475458709388,7.71910672160318,1.6215527733439e-09
"144","P2RX1",1.9888412874789,4.42955027088578,2.87224898376422e-14
"145","FAR2",1.18019518548778,2.56198671084209,0.0003374166539813
"146","MAN1C1",-1.12303963934477,2.98635847372828,0.000238557358029762
"147","CSTB",1.09781461195507,7.61213742379533,0.00486544402122046
"148","IGLV1-44",2.16575225465824,4.55971751456691,0.00044304082229171
"149","PPBP",3.05934786802683,9.74491343444369,9.87772524437628e-05
"150","ANPEP",1.34827204366171,5.48732399419425,0.00607389773296025
"151","DEFA3",7.77388494355199,4.89567503451727,1.26672907074399e-07
"152","SKAP2",1.29991143312266,6.12008996954718,1.71302690865137e-05
"153","HIST1H2AC",2.87625690275007,8.25300643583604,8.29809660003753e-06
"154","ARPC1B",1.59918629582873,8.70399457112634,6.82493659991862e-05
"155","SEC14L1",1.28824316353155,6.57957520598041,2.11385606822865e-09
"156","ZBTB40",-1.20985786871403,5.25763965272964,0.00540020352338656
"157","NDUFA3",1.21731966210795,7.24794075203772,0.00424953702074354
"158","LINC00926",1.25664744754229,5.74299345000629,2.98237945943276e-05
"159","NFIL3",1.37182112379627,4.34009710554265,0.000438902121547108
"160","GLRX",1.38683259822318,7.21421995829887,4.41994876674908e-08
"161","SCN1B",2.35846457485496,3.67433305462775,1.7037677560371e-05
"162","LIMK2",1.2428878922952,4.89379374295734,1.63564478970972e-05
"163","IGKC",1.62359499809671,5.49897776724863,0.00660296731846714
"164","IGKV4-1",1.63653103179332,5.38846037111717,0.0054029996998538
"165","MEF2C-AS1",1.71790924221395,1.63338924125402,9.80038477194788e-07
"166","IL1R2",3.5102932345089,4.01444313306723,1.91389340439563e-12
"167","IGKV1-39",1.87407262979412,1.15894281186583,0.0026689635914867
"168","NFATC4",-3.37155594208986,-1.13594841303131,0.00550223727865889
"169","TECPR2",1.6038085194864,4.32624378823408,1.87606514880784e-10
"170","CSNK1E",-1.05057312446084,4.38832550141187,0.00168462980629454
"171","LPCAT2",1.74508623749593,3.81544934953253,5.33299674480695e-06
"172","FOLR3",3.75769747489325,4.52369407921489,4.31276080471482e-09
"173","TMEM132A",-2.26167402762932,-0.847713510147495,0.0100759636481013
"174","SCO2",2.13386780809316,4.95089344993855,2.15037317691165e-05
"175","STX3",2.1235435429635,4.95027904250071,2.47114225044099e-10
"176","EPPK1",-1.48793266704377,1.96264068156263,0.00319504656045583
"177","CR1",2.33782981620038,4.40329936791964,2.04353537347192e-11
"178","FGFR1",-1.5483911032718,3.44585183997901,0.000700759864597389
"179","RHOB",1.02462549010785,5.64378402234142,0.000194551154901471
"180","OTOF",3.89500913061755,1.60880015733355,7.40221200622575e-10
"181","PAFAH2",-1.09731155246539,4.31343450479252,5.53967663982247e-05
"182","IGHV1-18",2.4086210991624,4.52173102537375,4.36715511170329e-05
"183","SAT1",1.76686307930451,9.94022783834058,4.85036976735626e-06
"184","PLEKHH2",-2.709095579411,2.58753013202419,0.000405003624150876
"185","BUB1B",-1.50165185451249,-1.01367575989377,0.00767998282483955
"186","SLC6A4",1.39747449884156,1.54789110720328,0.000850339077213328
"187","MSRB1",2.62810048006637,5.90271429015854,7.30957665831458e-14
"188","IGHV3-7",1.59128154506329,4.09418492610164,0.00888999545506956
"189","DDX60L",1.36969920282698,6.00171307670419,6.29328941692843e-06
"190","REPS2",2.17633229611798,2.69964137546532,3.88215189455412e-05
"191","BCOR",-1.14528441194922,5.11174747845856,0.000284347505710235
"192","IL2RG",1.39408954101153,7.87952142753779,0.00345025004089255
