"","Gene.name","logFC","logCPM","PValue"
"75","CHST2",-1.02356723828217,4.74530360790213,0.000785441898276098
"76","CAPG",1.14247029261856,6.24683309948494,0.000104982207153335
"77","RTN3",1.30966105783478,6.81528524186391,5.18138547455941e-09
"78","AIF1",1.15589788149828,8.54596059801966,0.000623254193176914
"79","NFE2",2.87205680242628,5.91183210374961,1.10067630142883e-07
"80","LIMS1",1.18554645395861,7.52576413748514,3.95289911445603e-05
"81","PERP",-1.28377388844922,3.49542389361678,0.00213804103311755
"82","EGR1",1.20117280714362,5.63193214135148,0.00024706146348447
"83","TRIB1",2.49196000980821,5.40475255394955,3.03197056588391e-14
"84","HIST1H2AI",2.17659704083466,1.89721398390855,9.08582797655346e-11
"85","EVI2B",1.33166371105815,7.21513879820134,2.3390880936746e-06
"86","MYBL2",1.49407141457539,1.50906657726135,0.000398276973017631
"87","IGHG3",2.65521405077041,4.43059479264642,2.24366753592076e-12
"88","CDC6",1.66123278529115,0.73443586337655,7.77496760822338e-05
"89","ASAP1",1.03483817124657,5.73393685017436,4.42579869475891e-06
"90","DAP",1.10244763558682,6.05971883851881,9.45311959042279e-06
"91","HIST1H1B",1.85546546923954,2.63825709771804,1.85445783990052e-13
"92","GLDC",1.73586477403156,-0.335782188462683,0.00417228478212131
"93","B3GNT7",-1.82804085012826,3.0999758312944,7.57491532121649e-05
"94","TLR1",1.32555808063653,4.43783711207239,6.8052868904792e-07
"95","GPR132",-1.01925955712969,4.6050996013368,0.00493056480174329
"96","SULT1B1",2.28628885716654,4.24969936528655,1.2468567790515e-09
"97","CHPT1",1.63780025842734,4.70097285007188,3.18272345773607e-07
"98","MZB1",1.93125762268305,3.76697023007005,1.41094651263445e-16
"99","PGD",2.35988848236249,7.50376151266663,1.17082047307117e-12
"100","FLOT1",1.22385606188313,7.02416290425696,6.84423531987748e-08
"101","GLT1D1",2.86755909015879,4.47192949513983,7.20419005396578e-18
"102","CD163",3.59590047899937,6.0157044658536,1.28613737334417e-19
"103","HAL",1.93471134430324,3.02927682356504,1.29436404111898e-05
"104","PDE3A",2.00195957859871,1.30310881797379,0.00182490747445565
"105","LILRA5",3.11496440476226,6.69971341309197,8.29467637787668e-12
"106","TRIM7",1.28730003252711,1.9145007274688,0.000229750402510765
"107","MTURN",1.26875451773796,4.3512313917361,1.3464087404259e-06
"108","ALOX5AP",2.32206068596041,8.40971394156705,1.2953521011508e-06
"109","MYL6",1.21777082560918,10.6117560170715,5.52086506705358e-05
"110","HIST1H2BN",1.25273425932643,3.22767470987243,0.00241572020542616
"111","STAB1",1.4704334362887,4.08996739130261,4.2505713374874e-05
"112","TRIQK",1.47249304108476,2.69930659734082,1.92692269738608e-05
"113","ARHGEF11",1.06308015307069,3.18743426174754,0.00085422145518071
"114","RBM47",1.80944992879705,5.06032267602365,3.49831665463498e-11
"115","DYSF",3.60189547527118,5.48371189864044,1.46477825229311e-24
"116","IDH1",1.17030423014701,3.9914809138035,3.61172383425961e-09
"117","CDK2AP1",1.52307425847444,2.99394142403739,5.90947697310096e-05
"118","HMGB2",1.89556269933771,7.88523720610839,7.85937982429226e-12
"119","LAMTOR4",1.32983685528497,8.28806911752349,0.000580448636719557
"120","CD5",-1.00382882050355,6.79328397369579,0.000312405871391702
"121","HIST1H1C",1.72454514469688,6.65784769555342,9.60077540555457e-12
"122","ATP11A",1.00594494542878,4.75864591253028,0.000392145521321464
"123","S100A4",1.66370835197455,11.206635977241,0.00158101630762657
"124","NEAT1",2.38481060862183,10.1402135677244,1.35753493322004e-09
"125","IGHV3OR16-13",3.12779025807586,-1.06673570956584,0.00484953693412043
"126","RSAD2",4.17952075590599,5.67700739394214,1.90324335500433e-15
"127","HP",6.25786633776358,5.48932231800696,1.24823400249037e-21
"128","FSTL1",2.53276696852588,2.58779480183192,2.94654560538882e-05
"129","NCAPG",1.52620973397833,0.639636326478456,8.99094370442335e-05
"130","GRINA",1.62428026053348,7.27562810645971,0.00124939276602341
"131","RASGRP4",2.0713499567944,4.13072403644475,5.53115288525659e-07
"132","GMFG",1.20463148099403,9.18770747703668,0.00011222800861122
"133","GRN",1.47254753331242,7.54802248876083,3.5184772621385e-12
"134","GNLY",-1.12302109059511,10.7663467969093,0.00269020241743899
"135","LDLR",1.13923865327998,4.56569464299076,3.1551288059314e-05
"136","H2AFJ",1.59322051683834,6.77504983718398,0.000320955293825789
"137","MITF",1.62780938220229,2.88654768119268,8.18885241782389e-06
"138","SNN",1.41486712513246,5.51995529890202,2.86848551544334e-07
"139","RGS2",1.19920007702303,7.45316089579179,1.80215680842175e-05
"140","P2RX1",2.16756289423793,4.77085590024919,2.75813385595933e-13
"141","FAR2",1.12681002877762,2.70800698644414,1.28663408346953e-05
"142","IGLV1-44",1.83608268913471,4.5681220512249,0.00349102239947693
"143","PPBP",2.90480404790475,9.88174488976971,0.000132255280866242
"144","ANPEP",1.55008180749776,5.79669163905194,0.000290235106551967
"145","DEFA3",4.35484952353115,1.89412766755054,6.62581158024096e-05
"146","SKAP2",1.29969076198436,6.30175561071063,7.65378396359512e-07
"147","HIST1H2AC",2.01390761060276,7.87161090734418,0.000682726052266624
"148","GIMAP7",-1.62570271067126,8.44132912380079,8.21168061320446e-08
"149","SEC14L1",1.24955004107995,6.74373359311934,1.02714321939643e-06
"150","NFIL3",2.35018691798033,5.15972918146573,8.15022266084784e-12
"151","GLRX",1.05765057051775,7.22528731334049,2.56871181215851e-05
"152","SCN1B",2.03520309799513,3.68358727691273,0.000102260580436132
"153","LIMK2",1.48277036618437,5.20916443965973,3.01295621073834e-09
"154","MEF2C-AS1",1.08526016826988,1.47405689621899,0.00133326478631294
"155","IL1R2",6.95140745124749,7.52023067399588,1.64052004344872e-21
"156","IGKV1-39",1.65237039720336,1.2358427228767,0.00435899518412716
"157","TECPR2",1.27011999621994,4.329087979369,8.9347735625105e-07
"158","LPCAT2",1.87551090273421,4.10222955647623,6.55785152017812e-10
"159","FOLR3",5.55289582554376,6.46115542194774,2.0760181123448e-13
"160","SCO2",1.63095780605167,4.83703999001337,0.000985292531673386
"161","STX3",2.11883637479448,5.16768890867889,1.99076123745369e-12
"162","CR1",2.80795409915925,4.9838662345924,1.637942328014e-20
"163","RHOB",1.35290459523425,5.99605194977587,3.21503863406496e-06
"164","MOB1B",1.18101360661094,4.63102621621342,3.00979168194433e-07
"165","OTOF",5.09937476971491,2.97574633818689,1.0575737765149e-13
"166","IRF8",1.23004821427696,6.17075869882807,1.01965305630649e-06
"167","PAFAH2",-1.11165523827003,4.39609577859586,2.69747512649581e-05
"168","CPD",1.02235279005942,6.01583563251179,2.57388884723175e-06
"169","IGHV1-18",1.89455223361908,4.40289502511551,0.00244942308907476
"170","DHCR24",1.17349729450538,2.9734837903545,0.00248353966376907
"171","SAT1",1.73625553555793,10.1319941235885,5.23718779131874e-05
"172","SLC6A4",1.08931607221542,1.56534512676769,0.00100282184070157
"173","MSRB1",2.65864948569478,6.1646619626518,1.35170979745644e-15
"174","DDX60L",1.38221850263273,6.19219843046968,1.55916997607343e-07
"175","REPS2",2.57284700298124,3.20502491151057,1.7672832194408e-07
"176","TM6SF1",1.6063373364177,3.65802909856866,3.29694868720029e-06
"177","LINC00937",1.87894945795051,3.95927416009835,2.04764359684566e-05
"178","ANO6",1.1804949029012,5.97822142716485,4.50435682412876e-10
