,Gene name,Moderate 0,Moderate 1,Moderate 2,Moderate 3,Moderate 4,Moderate 5,Moderate 8,Moderate 11,Moderate 13,Moderate 14,Severe 0,Severe 1,Severe 2,Severe 3,Severe 4,Severe 5,Severe 6,Severe 8,Severe 9,Severe 10,Severe 11,Severe 13
16904,LINC00284,0.0,0.0,8.461304,0.0,0.0,0.0,0.0,0.0,0.0,2.2696323,0.0,0.0,0.0,0.0,0.0,0.0,22.863377,80.865105,47.109955,85.29042,12.530767,2.123593
16905,AC055764.1,12.111301,11.086274,14.276891,0.0,0.0,0.0,0.0,0.0,2.2075055,6.7159166,0.0,7.775378,2.483238,1.8419597,0.0,2.036245,35.228767,26.666666,39.240417,2.9239767,29.836205,0.0
16906,CELA2A,0.0,1.450116,0.0,0.0,0.0,1.3819791,0.0,0.0,0.0,16.49632,0.0,0.0,0.0,0.0,1.885725,0.0,19.960577,21.645021,53.274765,90.16004,42.088753,0.0
16907,CNFN,753.4248,599.5769,133.7808,152.25525,224.83748,59.58332,150.29054,67.855515,81.490715,16.826515,121.04234,359.58948,789.1259,352.48444,274.7822,227.39697,57.548607,28.248589,17.988867,39.181396,36.033535,2.4570024
16908,TNFSF11,32.27113,5.6400795,149.213,1.3232764,10.41407,10.945658,1.8608112,27.824018,9.865606,7.2613554,3.4542315,6.427094,22.745453,5.1856318,3.0562348,11.084726,23.968454,22.779043,9.90099,36.892097,6.72043,0.0
16909,VTN,0.0,0.0,3.058104,0.0,0.0,0.0,0.0,0.0,0.0,7.535795,0.0,0.0,0.0,0.0,0.0,15.382702,4.066694,21.881838,54.561565,30.574015,19.1559,3.3010335
16910,LINC01160,4.1117597,0.0,3.6363635,0.0,1.2119184,1.1811954,1.6134237,3.56392,0.95138425,7.2098055,6.4921026,2.8660917,12.399676,0.0,11.496015,8.914022,23.512062,0.0,55.89441,23.16846,46.852264,70.345474
16911,DEFB119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.95557,34.36426,7.55287,0.0,0.0,4.8873663
16912,LINC00467,732.70514,641.31323,270.55588,238.47148,365.807,334.372,165.59326,271.8898,309.88208,99.33613,310.52182,624.62787,816.33466,204.68846,274.627,611.1888,655.4861,31.055899,89.10774,152.72583,114.238335,24.224194
16913,SPATA42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2118274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0761423,13.271687,2.007629,3.323363
16914,APOL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.267822,6.5019507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.948881,21.268795,67.4749,16.750418,0.0
16915,NHLRC1,50.054573,42.426033,48.651623,7.812054,23.899666,11.08448,30.477299,5.207567,7.2507987,35.25507,7.48503,29.404587,62.69284,14.830097,3.9677,12.367987,47.79931,30.581041,48.07724,78.944305,55.308163,8.02034
16916,TMC1,4.80212,0.0,0.0,2.5252526,90.382355,0.0,2.7805882,40.154335,0.0,39.887093,0.0,3.8190832,0.0,0.0,0.0,5.3407965,142.9645,182.6957,170.0893,195.54845,100.624664,1.8818215
16917,CHRNE,59.909657,123.155,1133.8246,88.34868,66.38508,29.690556,6.590415,20.081175,28.927748,19.505013,98.59491,171.8947,175.87465,77.49813,103.050995,116.17292,120.28504,0.0,8.368201,85.619804,27.736454,27.366804
16918,PLTP,31.910086,36.355167,50.251335,179.84245,106.14684,53.680237,134.30272,82.98012,173.24161,32.395195,129.0807,160.2084,189.62093,79.601654,83.68094,169.1236,117.44342,0.0,13.913657,56.783752,29.511906,9.695133
16919,INHBC,5.4616942,0.0,0.0,0.0,0.0,0.0,2.731494,0.0,0.0,13.78614,0.0,0.0,0.0,0.0,0.0,4.86618,15.391838,66.92171,60.971405,87.66171,2.9815147,0.0
16920,OR2J3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.164306,0.0,0.0,0.0,0.0,0.0,0.0,47.250324,33.0033,49.735603,153.55011,57.935974,0.0
16921,BGLAP,8.152404,2.3894863,31.07056,3.658983,10.9626875,6.0233927,17.319536,1.353363,2.556891,3.6697247,0.0,5.6635,19.778214,12.006075,10.44643,19.960878,66.083015,0.0,14.430014,40.334377,0.0,2.4159727
16922,HOXA1,7.314071,21.30845,31.611765,12.898694,15.971415,36.27468,28.52074,7.66813,8.610819,33.263386,20.891684,23.38873,23.132841,7.9218135,15.134029,32.912373,28.128326,0.0,76.00368,122.85354,19.535572,40.25611
16923,KPNA7,13.9021225,4.019986,3.6218486,0.0,0.0,0.0,0.0,0.0,0.0,12.127239,0.0,0.0,0.0,0.0,3.446231,0.0,0.0,0.0,17.301039,8.680555,15.457503,29.783743
16924,MAEL,14.759487,3.1756113,0.0,0.0,8.116883,0.0,1.3243278,0.0,0.0,20.774181,0.0,0.0,0.8953353,0.0,0.0,40.397133,39.59251,77.97126,75.836296,78.87687,43.803776,5.7964134
16925,KCNRG,53.78929,16.676857,17.45264,0.0,13.996197,0.0,17.904263,9.765625,38.222046,12.249901,27.646158,18.700335,30.731466,14.829592,10.114212,29.29027,126.878075,60.71534,108.297905,41.87126,51.136116,20.226423
16926,AC012485.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.617945,0.0,0.0,0.0,0.0,0.0,0.0,33.112583,65.27277,58.013176,27.11405,25.346893,0.0
16927,FOXR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0241446,0.0,0.0,0.0,0.0,0.0,0.0,7.358351,0.0,6.1387353,27.39726,5.073567,0.0
16928,AK8,30.368547,62.85472,31.426062,35.986904,5.216336,5.615767,2.4640357,16.398075,39.25196,0.0,0.0,49.855183,32.806942,9.181391,0.73784405,12.028215,47.444275,17.331022,10.559662,51.912117,8.197803,3.2467532
16929,ARL6IP4,30718.201,23092.434,20782.625,5730.6733,4944.305,4958.8306,3053.8115,3783.2468,4838.517,69.153076,7903.138,17620.635,24891.979,8354.129,6191.8022,7344.1797,2421.341,31.64557,73.462524,43.796005,181.47528,47.50685
16930,MTUS2-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.231884,40.816326,58.856144,9.508578,14.854795,0.0
16931,AC016831.7,9794.888,6626.079,11965.465,20.930286,41.698833,5.0378237,7.7205257,54.98647,17.116062,22.18509,2781.9575,4439.0107,5662.4614,2873.4143,2464.2646,512.0994,343.3398,230.07312,127.00885,155.60408,276.88873,16.057703
16932,DENND5B-AS1,2.8176951,5.37302,8.178358,0.0,4.887567,3.327787,1.7531557,0.0,2.3674242,7.5244546,0.0,0.0,0.0,0.0,5.346562,6.164901,10.799136,0.0,100.78559,54.789913,21.689447,6.866526
16933,ESPN,60.318233,39.12957,190.64531,14.429038,34.127304,21.046562,20.193237,15.972195,21.13831,5.220178,14.785174,25.62344,50.277397,17.39485,10.51104,35.273212,56.8327,0.0,0.0,26.362957,28.656507,9.856736
16934,IL22RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.978037,0.0,0.0,0.0,0.0,0.0,0.0,8.928571,0.0,50.959034,51.78762,0.0,0.0
16935,SNURF,947.44403,599.34924,621.86346,216.171,395.7928,186.66197,203.21606,148.92542,416.40674,10.05048,123.96375,423.22675,707.42334,301.31082,181.96608,459.58255,313.61398,32.051285,17.026546,23.094688,19.716713,32.051285
16936,MOGAT1,4.705654,0.57477874,16.77763,0.0,0.70711356,2.6807652,0.0,5.8213983,3.6025658,4.6546884,2.1258502,0.0,0.0,0.0,0.0,8.950842,81.11445,0.0,39.76134,46.682095,29.883314,2.7785497
16937,FOXN3-AS2,1.4958863,0.0,1.8204988,0.0,0.0,0.0,0.0,0.0,0.0,30.979177,0.0,4.7105064,0.0,0.0,0.0,0.0,67.825806,68.92778,52.23378,163.29247,25.219683,6.1440983
16938,CTGF,5.9559264,100.71865,2.4469683,0.0,5.4510365,0.0,8.3949795,58.260338,0.0,1.4757968,4.5028477,25.07124,3.3189514,8.435205,42.883327,8.140901,64.35823,0.0,0.0,22.498516,28.169487,0.0
16939,PRDM9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.830786,0.0,0.0,0.0,0.0,0.0,0.0,22.934484,36.630035,50.89361,88.38576,11.888424,0.0
16940,GLT6D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.258064,29.5858,11.840907,3.1625555,0.0,27.532997
16941,TMEM221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.006518,0.0,0.0,3.4989502,0.0,0.0,1.9109498,41.866867,25.575449,129.35674,92.5031,33.5096,36.202267
16942,ITCH-AS1,0.0,0.0,1.8234866,0.0,0.0,0.0,0.0,0.0,0.0,8.332354,0.0,0.0,0.0,0.0,0.0,2.6881719,25.706942,42.405983,0.0,7.0199423,0.0,0.0
16943,GATA6-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2014,2.5176234,0.0,0.0,0.0,0.0,0.0,0.0,35.08772,73.31196,15.152419,8.788608,0.0
16944,GCSH,361.51758,230.39195,165.30605,211.54147,314.1254,236.9837,88.89616,138.73373,124.14734,8.628127,24.213299,184.02959,313.2066,89.03678,72.756454,300.37784,167.87569,31.347963,10.905125,43.53431,10.490453,0.0
16945,NR2E3,2.9010732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.922367,0.0,0.0,0.0,0.0,0.0,0.0,104.55978,34.36426,137.01697,133.107,33.53073,26.638142
16946,FAM215A,86.5974,57.017673,19.169704,14.7945595,41.735798,20.975067,39.41078,22.792515,35.78649,4.422822,2.8851702,27.941566,43.68737,11.096048,8.148662,28.591803,25.273281,35.58719,10.050251,66.30932,16.647717,1.740644
16947,ARHGAP20,38.016457,4.7346587,6.23395,1.6366612,21.8801,6.793811,2.2825837,11.862396,0.0,12.283422,2.4224806,7.2496243,13.573908,8.224329,15.008005,33.5578,92.67043,26.737968,263.10202,131.71524,124.75346,50.517567
16948,HTR2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.320158,0.0,0.0,0.0,0.0,0.0,0.0,11.376565,0.0,42.262535,95.53375,5.1652894,0.0
