Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Healthy 15,0.0635264631080029,0,0,0.125763509920345,0.207012048421605,0.290297740842152,0,0,0,0,0.0703252363647883,0.0550763576487009,0.13709496298141,0.00634571141691452,0,0,0,0.0052297801446402,0.0203143800494169,0,0,0.0190138091020247,0,0.706392810998423,0.721349025529032
Healthy 17,0.0269145900716666,0.0102032286905488,0,0.119538439862795,0.161134732842766,0.337730196906442,0,0,0,0,0.0964727277434223,0.0512852437268189,0.164377996850318,0.00269057405260837,0,0,0,0.00654964481077915,0.0196543531559311,0,0,0.00344827128590421,0,0.708593637811779,0.718276542073239
Healthy 18,0.0785488636535994,0,0,0.142377753288566,0.0841068307588042,0.144012898330887,0.0178153362993167,0,0,0,0.237375110943195,0.0347487949520918,0.232975181828816,0,0,0,0,0,0.0133213799531308,0,0,0.0147178499915939,0,0.714959586724633,0.715234456839501
Healthy 20,0.0934021225129357,0,0.00390790438701466,0.342275760442138,0.0521392500668508,0.120858191615172,0.0349907063705667,0,0,0,0.138465052319132,0.0172647076890291,0.141378916393453,0.00208121486296324,0,0.00493894309523081,0,0,0.0234122872607074,0,0,0.0248849429848058,0,0.71154922356664,0.716509100985944
Healthy 21,0.056468644647517,0,0.000823593617917726,0.161624066718142,0.103919018297222,0.0908232101951784,0.0217847033710185,0,0,0,0.507233750283262,0,0.0450307768261123,0,0,0.00378757649446139,0,0,0.00850465954916879,0,0,0,0,0.722474938833025,0.692323706783478
Healthy 23,0.0319876106223222,0,0,0.159995693469913,0.111891923972033,0.0853819364766044,0.0312040391791955,0,0,0,0.528650069417103,0,0.0377564654076364,0,0,0.00290345481820354,0,0,0.0102288066369895,0,0,0,0,0.726417643225805,0.689430721839758
Healthy 24,0.0234692663247366,0,0,0.194706340020218,0.101878901385121,0.180708472478226,0.0424266204815282,0,0,0,0.362295924293941,0,0.0701767060822276,0.00280390516557134,0,4.87332192775995e-05,0,0,0.0214851305491529,0,0,0,0,0.70273282312059,0.711339974188393
Healthy 25,0.0377459085945395,0,0,0.312765324078491,0.130600344731858,0.259904156349571,0,0,0,0,0.144556130737786,0.0401941671570958,0.0442725233489454,0.00812160849276717,0,0,0,0.00351078013368735,0.0157631392708548,0,0,0.0025659171044044,0,0.700104473164634,0.714298318488361
Healthy 26,0.0350834116235188,0,0,0.291345398071115,0.123740628426054,0.247486853970403,0.0230181302704237,0,0,0,0.172471066983586,0,0.0840523915186264,0,0,0.00936470041335848,0,0,0.0134374187229154,0,0,0,0,0.700968076305672,0.715932618475284
Moderate 0,0.167146583051961,0,0,0.18107988605594,0.314641139989136,0.245641136108052,0.00768796589390086,0,0,0,0.00304747068253316,0.0362350141931764,0.0413890641018905,0.000658176218630784,0,0,0,0.000264891452929015,0.00220867225184985,0,0,0,0,0.61417548949264,0.788542837515014
